from_n,to_n,spacing
1,31,30
31,61,30
61,91,30
91,121,30
121,151,30
151,181,30
181,211,30
211,241,30
241,271,30
271,301,30
301,331,30
331,361,30
361,391,30
391,421,30
421,451,30
451,481,30
481,511,30
511,541,30
541,571,30
571,601,30
601,631,30
631,661,30
661,691,30
691,721,30
721,751,30
751,781,30
781,811,30
811,841,30
841,871,30
871,901,30
901,931,30
931,961,30
961,991,30
991,1021,30
1021,1051,30
1051,1081,30
1081,1111,30
1111,1141,30
1141,1171,30
1171,1201,30
1201,1231,30
1231,1261,30
1261,1291,30
1291,1321,30
1321,1351,30
1351,1381,30
1381,1411,30
1411,1441,30
1441,1471,30
1471,1501,30
1501,1531,30
1531,1561,30
1561,1591,30
1591,1621,30
1621,1651,30
1651,1681,30
1681,1711,30
1711,1741,30
1741,1771,30
1771,1801,30
1801,1831,30
1831,1861,30
1861,1891,30
1891,1921,30
1921,1951,30
1951,1981,30
1981,2011,30
2011,2041,30
2041,2071,30
2071,2101,30
2101,2131,30
2131,2161,30
2161,2191,30
2191,2221,30
2221,2251,30
2251,2281,30
2281,2311,30
2311,2341,30
2341,2371,30
2371,2401,30
2401,2431,30
2431,2461,30
2461,2491,30
2491,2521,30
2521,2551,30
2551,2581,30
2581,2611,30
2611,2641,30
2641,2671,30
2671,2701,30
2701,2731,30
2731,2761,30
2761,2791,30
2791,2821,30
2821,2851,30
2851,2881,30
2881,2911,30
2911,2941,30
2941,2971,30
