window_start,window_stop,window_size,lane_01,lane_07,lane_11,lane_13,lane_17,lane_19,lane_23,lane_29,lane_01_share
1,300,300,10,10,10,10,10,10,10,10,0.125
301,600,300,10,10,10,10,10,10,10,10,0.125
601,900,300,10,10,10,10,10,10,10,10,0.125
901,1200,300,10,10,10,10,10,10,10,10,0.125
1201,1500,300,10,10,10,10,10,10,10,10,0.125
1501,1800,300,10,10,10,10,10,10,10,10,0.125
1801,2100,300,10,10,10,10,10,10,10,10,0.125
2101,2400,300,10,10,10,10,10,10,10,10,0.125
2401,2700,300,10,10,10,10,10,10,10,10,0.125
2701,3000,300,10,10,10,10,10,10,10,10,0.125
