from_prime,to_prime,spacing
7,37,30
37,67,30
67,97,30
97,127,30
127,157,30
157,277,120
277,307,30
307,337,30
337,367,30
367,397,30
397,457,60
457,487,30
487,547,60
547,577,30
577,607,30
607,727,120
727,757,30
757,787,30
787,877,90
877,907,30
907,937,30
937,967,30
967,997,30
997,1087,90
1087,1117,30
1117,1237,120
1237,1297,60
1297,1327,30
1327,1447,120
1447,1567,120
1567,1597,30
1597,1627,30
1627,1657,30
1657,1747,90
1747,1777,30
1777,1867,90
1867,1987,120
1987,2017,30
2017,2137,120
2137,2287,150
2287,2347,60
2347,2377,30
2377,2437,60
2437,2467,30
2467,2557,90
2557,2617,60
2617,2647,30
2647,2677,30
2677,2707,30
2707,2767,60
2767,2797,30
2797,2857,60
2857,2887,30
2887,2917,30
2917,3037,120
3037,3067,30
3067,3187,120
3187,3217,30
3217,3307,90
3307,3457,150
3457,3517,60
3517,3547,30
3547,3607,60
3607,3637,30
3637,3697,60
3697,3727,30
3727,3847,120
3847,3877,30
3877,3907,30
3907,3967,60
3967,4027,60
4027,4057,30
4057,4177,120
4177,4297,120
4297,4327,30
4327,4357,30
4357,4447,90
4447,4507,60
4507,4567,60
4567,4597,30
4597,4657,60
4657,4957,300
4957,4987,30
4987,5077,90
5077,5107,30
5107,5167,60
5167,5197,30
5197,5227,30
5227,5347,120
5347,5407,60
5407,5437,30
5437,5527,90
5527,5557,30
5557,5647,90
5647,5737,90
5737,5827,90
5827,5857,30
5857,6007,150
6007,6037,30
6037,6067,30
6067,6217,150
6217,6247,30
6247,6277,30
6277,6337,60
6337,6367,30
6367,6397,30
6397,6427,30
6427,6547,120
6547,6577,30
6577,6607,30
6607,6637,30
6637,6907,270
6907,6967,60
6967,6997,30
6997,7027,30
7027,7057,30
7057,7177,120
7177,7207,30
7207,7237,30
7237,7297,60
7297,7417,120
7417,7477,60
7477,7507,30
7507,7537,30
7537,7687,150
7687,7717,30
7717,7867,150
7867,7927,60
7927,8017,90
8017,8167,150
8167,8287,120
8287,8317,30
8317,8377,60
8377,8467,90
8467,8527,60
8527,8647,120
8647,8677,30
8677,8707,30
8707,8737,30
8737,8887,150
8887,9007,120
9007,9067,60
9067,9127,60
9127,9157,30
9157,9187,30
9187,9277,90
9277,9337,60
9337,9397,60
9397,9547,150
9547,9697,150
9697,9787,90
9787,9817,30
9817,9907,90
9907,9967,60
9967,10177,210
10177,10267,90
10267,10357,90
10357,10477,120
10477,10567,90
10567,10597,30
10597,10627,30
10627,10657,30
10657,10687,30
10687,10837,150
10837,10867,30
10867,10957,90
10957,10987,30
10987,11047,60
11047,11197,150
11197,11257,60
11257,11287,30
11287,11317,30
11317,11437,120
11437,11467,30
11467,11497,30
11497,11527,30
11527,11587,60
11587,11617,30
11617,11677,60
11677,11827,150
11827,11887,60
11887,12007,120
12007,12037,30
12037,12097,60
12097,12157,60
12157,12277,120
12277,12457,180
12457,12487,30
12487,12517,30
12517,12547,30
12547,12577,30
12577,12637,60
12637,12697,60
12697,12757,60
12757,12907,150
12907,12967,60
12967,13147,180
13147,13177,30
13177,13267,90
13267,13297,30
13297,13327,30
13327,13417,90
13417,13477,60
13477,13537,60
13537,13567,30
13567,13597,30
13597,13627,30
13627,13687,60
13687,13807,120
13807,14107,300
14107,14197,90
14197,14347,150
14347,14407,60
14407,14437,30
14437,14557,120
14557,14737,180
14737,14767,30
14767,14797,30
14797,14827,30
14827,14887,60
14887,14947,60
14947,15187,240
15187,15217,30
15217,15277,60
15277,15307,30
15307,15427,120
15427,15607,180
15607,15667,60
15667,15727,60
15727,15787,60
15787,15817,30
15817,15877,60
15877,15907,30
15907,15937,30
15937,16057,120
16057,16087,30
16087,16267,180
16267,16417,150
16417,16447,30
16447,16477,30
16477,16567,90
16567,16657,90
16657,16747,90
16747,16927,180
16927,16987,60
16987,17047,60
17047,17077,30
17077,17107,30
17107,17137,30
17137,17167,30
17167,17257,90
17257,17317,60
17317,17377,60
17377,17467,90
17467,17497,30
17497,17707,210
17707,17737,30
17737,17827,90
17827,17977,150
17977,18097,120
18097,18127,30
18127,18217,90
18217,18307,90
18307,18367,60
18367,18397,30
18397,18427,30
18427,18457,30
18457,18517,60
18517,18637,120
18637,18757,120
18757,18787,30
18787,19087,300
19087,19207,120
19207,19237,30
19237,19267,30
19267,19387,120
19387,19417,30
19417,19447,30
19447,19477,30
19477,19507,30
19507,19597,90
19597,19687,90
19687,19717,30
19717,19777,60
19777,19867,90
19867,19927,60
19927,20047,120
20047,20107,60
20107,20287,180
20287,20347,60
20347,20407,60
20407,20707,300
20707,20857,150
20857,20887,30
20887,20947,60
20947,21067,120
21067,21157,90
21157,21187,30
21187,21247,60
21247,21277,30
21277,21397,120
21397,21487,90
21487,21517,30
21517,21577,60
21577,21727,150
21727,21757,30
21757,21787,30
21787,21817,30
21817,21937,120
21937,21997,60
21997,22027,30
22027,22147,120
22147,22447,300
22447,22567,120
22567,22717,150
22717,22777,60
22777,22807,30
22807,23017,210
23017,23167,150
23167,23197,30
23197,23227,30
23227,23497,270
23497,23557,60
23557,23677,120
23677,23767,90
23767,23827,60
23827,23857,30
23857,23887,30
23887,23917,30
23917,23977,60
23977,24007,30
24007,24097,90
24097,24247,150
24247,24337,90
24337,24517,180
24517,24547,30
24547,24697,150
24697,24847,150
24847,24877,30
24877,24907,30
24907,24967,60
24967,25057,90
25057,25087,30
25087,25117,30
25117,25147,30
25147,25237,90
25237,25357,120
25357,25447,90
25447,25537,90
25537,25657,120
25657,25717,60
25717,25747,30
25747,25867,120
25867,26017,150
26017,26107,90
26107,26227,120
26227,26317,90
26317,26347,30
26347,26407,60
26407,26437,30
26437,26497,60
26497,26557,60
26557,26647,90
26647,26737,90
26737,26947,210
26947,27067,120
27067,27127,60
27127,27277,150
27277,27337,60
27337,27367,30
27367,27397,30
27397,27427,30
27427,27457,30
27457,27487,30
27487,27697,210
27697,27817,120
27817,27847,30
27847,27967,120
27967,27997,30
27997,28027,30
28027,28057,30
28057,28087,30
28087,28297,210
28297,28387,90
28387,28447,60
28447,28477,30
28477,28537,60
28537,28597,60
28597,28627,30
28627,28657,30
28657,28687,30
28687,28807,120
28807,28837,30
28837,28867,30
28867,28927,60
28927,29017,90
29017,29077,60
29077,29137,60
29137,29167,30
29167,29287,120
29287,29347,60
29347,29437,90
29437,29527,90
29527,29587,60
29587,29917,330
29917,29947,30
