window_start,window_stop,window_center,window_size,prime_count,lane_01,lane_07,lane_11,lane_13,lane_17,lane_19,lane_23,lane_29,share_01,share_07,share_11,share_13,share_17,share_19,share_23,share_29,target_lane_count,target_lane_share,leader_lane,leader_count,leader_margin
1,3000,1500.5,3000,427,50,55,53,54,56,48,55,56,0.117096018735363,0.1288056206088993,0.12412177985948478,0.12646370023419204,0.13114754098360656,0.11241217798594848,0.1288056206088993,0.13114754098360656,53,0.12412177985948478,17,56,0
301,3300,1800.5,3000,401,48,52,50,48,51,49,50,53,0.11970074812967581,0.12967581047381546,0.12468827930174564,0.11970074812967581,0.12718204488778054,0.12219451371571072,0.12468827930174564,0.13216957605985039,50,0.12468827930174564,29,53,1
601,3600,2100.5,3000,394,51,48,48,49,51,49,48,50,0.12944162436548223,0.1218274111675127,0.1218274111675127,0.12436548223350254,0.12944162436548223,0.12436548223350254,0.1218274111675127,0.12690355329949238,48,0.1218274111675127,01,51,0
901,3900,2400.5,3000,385,47,49,49,49,48,47,47,49,0.12207792207792208,0.12727272727272726,0.12727272727272726,0.12727272727272726,0.12467532467532468,0.12207792207792208,0.12207792207792208,0.12727272727272726,49,0.12727272727272726,07,49,0
1201,4200,2700.5,3000,378,47,48,44,48,49,46,45,51,0.12433862433862433,0.12698412698412698,0.1164021164021164,0.12698412698412698,0.12962962962962962,0.12169312169312169,0.11904761904761904,0.1349206349206349,44,0.1164021164021164,29,51,2
1501,4500,3000.5,3000,371,45,48,47,48,47,42,45,49,0.12129380053908356,0.1293800539083558,0.12668463611859837,0.1293800539083558,0.12668463611859837,0.11320754716981132,0.12129380053908356,0.1320754716981132,47,0.12668463611859837,29,49,1
1801,4800,3300.5,3000,368,46,46,46,47,46,41,47,49,0.125,0.125,0.125,0.12771739130434784,0.125,0.11141304347826086,0.12771739130434784,0.1331521739130435,46,0.125,29,49,2
2101,5100,3600.5,3000,364,46,46,46,47,45,41,45,48,0.12637362637362637,0.12637362637362637,0.12637362637362637,0.12912087912087913,0.12362637362637363,0.11263736263736264,0.12362637362637363,0.13186813186813187,46,0.12637362637362637,29,48,1
2401,5400,3900.5,3000,355,40,47,47,45,44,40,44,48,0.11267605633802817,0.1323943661971831,0.1323943661971831,0.1267605633802817,0.12394366197183099,0.11267605633802817,0.12394366197183099,0.1352112676056338,47,0.1323943661971831,29,48,1
2701,5700,4200.5,3000,357,41,46,48,48,43,43,42,46,0.11484593837535013,0.12885154061624648,0.13445378151260504,0.13445378151260504,0.12044817927170869,0.12044817927170869,0.11764705882352941,0.12885154061624648,48,0.13445378151260504,11,48,0
3001,6000,4500.5,3000,353,42,43,49,47,44,45,42,41,0.11898016997167139,0.12181303116147309,0.1388101983002833,0.13314447592067988,0.12464589235127478,0.1274787535410765,0.11898016997167139,0.11614730878186968,49,0.1388101983002833,11,49,2
3301,6300,4800.5,3000,356,42,45,48,49,45,41,45,41,0.11797752808988764,0.12640449438202248,0.1348314606741573,0.13764044943820225,0.12640449438202248,0.1151685393258427,0.12640449438202248,0.1151685393258427,48,0.1348314606741573,13,49,1
3601,6600,5100.5,3000,350,41,47,49,46,41,39,45,42,0.11714285714285715,0.13428571428571429,0.14,0.13142857142857142,0.11714285714285715,0.11142857142857143,0.12857142857142856,0.12,49,0.14,11,49,2
3901,6900,5400.5,3000,348,44,43,46,46,40,39,45,45,0.12643678160919541,0.1235632183908046,0.13218390804597702,0.13218390804597702,0.11494252873563218,0.11206896551724138,0.12931034482758622,0.12931034482758622,46,0.13218390804597702,11,46,0
4201,7200,5700.5,3000,345,42,44,48,42,40,40,46,43,0.12173913043478261,0.12753623188405797,0.1391304347826087,0.12173913043478261,0.11594202898550725,0.11594202898550725,0.13333333333333333,0.1246376811594203,48,0.1391304347826087,11,48,2
4501,7500,6000.5,3000,340,41,45,45,41,40,43,44,41,0.12058823529411765,0.1323529411764706,0.1323529411764706,0.12058823529411765,0.11764705882352941,0.1264705882352941,0.12941176470588237,0.12058823529411765,45,0.1323529411764706,07,45,0
4801,7800,6300.5,3000,341,42,45,44,40,42,43,43,42,0.12316715542521994,0.13196480938416422,0.12903225806451613,0.11730205278592376,0.12316715542521994,0.12609970674486803,0.12609970674486803,0.12316715542521994,44,0.12903225806451613,07,45,1
5101,8100,6600.5,3000,337,39,45,42,40,42,42,44,43,0.11572700296735905,0.13353115727002968,0.12462908011869436,0.11869436201780416,0.12462908011869436,0.12462908011869436,0.13056379821958458,0.12759643916913946,42,0.12462908011869436,07,45,1
5401,8400,6900.5,3000,339,42,44,41,41,43,44,43,41,0.12389380530973451,0.12979351032448377,0.12094395280235988,0.12094395280235988,0.12684365781710916,0.12979351032448377,0.12684365781710916,0.12094395280235988,41,0.12094395280235988,07,44,0
5701,8700,7200.5,3000,334,43,43,37,37,43,43,46,42,0.12874251497005987,0.12874251497005987,0.11077844311377245,0.11077844311377245,0.12874251497005987,0.12874251497005987,0.1377245508982036,0.12574850299401197,37,0.11077844311377245,23,46,3
6001,9000,7500.5,3000,334,43,43,36,39,41,43,46,43,0.12874251497005987,0.12874251497005987,0.10778443113772455,0.11676646706586827,0.12275449101796407,0.12874251497005987,0.1377245508982036,0.12874251497005987,36,0.10778443113772455,23,46,3
6301,9300,7800.5,3000,332,43,43,37,40,40,43,43,43,0.12951807228915663,0.12951807228915663,0.11144578313253012,0.12048192771084337,0.12048192771084337,0.12951807228915663,0.12951807228915663,0.12951807228915663,37,0.11144578313253012,01,43,0
6601,9600,8100.5,3000,331,40,40,40,41,44,43,43,40,0.12084592145015106,0.12084592145015106,0.12084592145015106,0.12386706948640483,0.13293051359516617,0.1299093655589124,0.1299093655589124,0.12084592145015106,40,0.12084592145015106,17,44,1
6901,9900,8400.5,3000,333,42,41,39,38,45,46,43,39,0.12612612612612611,0.12312312312312312,0.11711711711711711,0.11411411411411411,0.13513513513513514,0.13813813813813813,0.12912912912912913,0.11711711711711711,39,0.11711711711711711,19,46,1
7201,10200,8700.5,3000,333,44,38,39,40,43,47,43,39,0.13213213213213212,0.11411411411411411,0.11711711711711711,0.12012012012012012,0.12912912912912913,0.14114114114114115,0.12912912912912913,0.11711711711711711,39,0.11711711711711711,19,47,3
7501,10500,9000.5,3000,334,42,36,40,41,44,46,46,39,0.12574850299401197,0.10778443113772455,0.11976047904191617,0.12275449101796407,0.1317365269461078,0.1377245508982036,0.1377245508982036,0.11676646706586827,40,0.11976047904191617,19,46,0
7801,10800,9300.5,3000,328,42,37,42,41,40,43,42,41,0.12804878048780488,0.11280487804878049,0.12804878048780488,0.125,0.12195121951219512,0.13109756097560976,0.12804878048780488,0.125,42,0.12804878048780488,19,43,1
8101,11100,9600.5,3000,327,44,39,39,39,40,43,43,40,0.1345565749235474,0.11926605504587157,0.11926605504587157,0.11926605504587157,0.12232415902140673,0.13149847094801223,0.13149847094801223,0.12232415902140673,39,0.11926605504587157,01,44,1
8401,11400,9900.5,3000,325,43,39,39,39,37,43,43,42,0.13230769230769232,0.12,0.12,0.12,0.11384615384615385,0.13230769230769232,0.13230769230769232,0.12923076923076923,39,0.12,01,43,0
8701,11700,10200.5,3000,320,40,42,41,39,36,39,40,43,0.125,0.13125,0.128125,0.121875,0.1125,0.121875,0.125,0.134375,41,0.128125,29,43,1
9001,12000,10500.5,3000,321,40,41,40,39,39,39,40,43,0.12461059190031153,0.1277258566978193,0.12461059190031153,0.12149532710280374,0.12149532710280374,0.12149532710280374,0.12461059190031153,0.13395638629283488,40,0.12461059190031153,29,43,2
9301,12300,10800.5,3000,319,37,40,42,38,39,39,41,43,0.11598746081504702,0.12539184952978055,0.13166144200626959,0.11912225705329153,0.12225705329153605,0.12225705329153605,0.12852664576802508,0.13479623824451412,42,0.13166144200626959,29,43,1
9601,12600,11100.5,3000,320,40,42,36,39,39,39,41,44,0.125,0.13125,0.1125,0.121875,0.121875,0.121875,0.128125,0.1375,36,0.1125,29,44,2
9901,12900,11400.5,3000,315,37,42,39,40,36,37,41,43,0.11746031746031746,0.13333333333333333,0.12380952380952381,0.12698412698412698,0.11428571428571428,0.11746031746031746,0.13015873015873017,0.1365079365079365,39,0.12380952380952381,29,43,1
10201,13200,11700.5,3000,318,34,43,39,44,38,36,42,42,0.1069182389937107,0.13522012578616352,0.12264150943396226,0.13836477987421383,0.11949685534591195,0.11320754716981132,0.1320754716981132,0.1320754716981132,39,0.12264150943396226,13,44,1
10501,13500,12000.5,3000,316,37,45,38,39,39,37,38,43,0.11708860759493671,0.14240506329113925,0.12025316455696203,0.12341772151898735,0.12341772151898735,0.11708860759493671,0.12025316455696203,0.1360759493670886,38,0.12025316455696203,07,45,2
10801,13800,12300.5,3000,317,35,45,38,39,40,38,40,42,0.11041009463722397,0.14195583596214512,0.11987381703470032,0.12302839116719243,0.12618296529968454,0.11987381703470032,0.12618296529968454,0.13249211356466878,38,0.11987381703470032,07,45,3
11101,14100,12600.5,3000,317,35,41,43,41,41,38,38,40,0.11041009463722397,0.12933753943217666,0.13564668769716087,0.12933753943217666,0.12933753943217666,0.11987381703470032,0.11987381703470032,0.12618296529968454,43,0.13564668769716087,11,43,2
11401,14400,12900.5,3000,310,35,40,40,41,43,35,37,39,0.11290322580645161,0.12903225806451613,0.12903225806451613,0.13225806451612904,0.13870967741935483,0.11290322580645161,0.11935483870967742,0.12580645161290321,40,0.12903225806451613,17,43,2
11701,14700,13200.5,3000,316,37,36,40,44,44,38,37,40,0.11708860759493671,0.11392405063291139,0.12658227848101267,0.13924050632911392,0.13924050632911392,0.12025316455696203,0.11708860759493671,0.12658227848101267,40,0.12658227848101267,13,44,0
12001,15000,13500.5,3000,316,35,40,42,42,42,37,38,40,0.11075949367088607,0.12658227848101267,0.13291139240506328,0.13291139240506328,0.13291139240506328,0.11708860759493671,0.12025316455696203,0.12658227848101267,42,0.13291139240506328,11,42,0
