window_start,euclidean_drift,cosine_similarity_previous,cosine_drift,boundary_imbalance_delta,reflection_gap_delta,boundary_pressure,reflection_pressure
301,10.862780491200215,0.9992695851301235,0.0007304148698764612,-2.0,-1.0,0.012468827930174564,0.030303030303030304
601,6.557438524302,0.9990721971178532,0.0009278028821467776,3.0,1.0,0.005076142131979695,0.02
901,5.744562646538029,0.9993997805102326,0.0006002194897674062,5.0,3.0,0.007792207792207792,0.010309278350515464
1201,6.082762530298219,0.9991380865967758,0.0008619134032241682,-7.0,-2.0,0.010582010582010581,0.010309278350515464
1501,6.082762530298219,0.9991205906283749,0.0008794093716251172,9.0,2.0,0.013477088948787063,0.010526315789473684
1801,3.605551275463989,0.9996527184300266,0.0003472815699734344,-3.0,0.0,0.005434782608695652,0.010752688172043012
2101,2.449489742783178,0.9998826381954232,0.00011736180457677658,4.0,1.0,0.016483516483516484,0.021739130434782608
2401,6.708203932499369,0.9988957183511612,0.0011042816488388008,-3.0,-1.0,0.008450704225352112,0.011235955056179775
2701,5.477225575051661,0.9990699476764746,0.0009300523235253877,6.0,4.0,0.025210084033613446,0.054945054945054944
3001,6.48074069840786,0.9987340139240244,0.0012659860759756114,0.0,-2.0,0.025495750708215296,0.03296703296703297
3301,5.916079783099616,0.9989286598691935,0.001071340130806453,3.0,1.0,0.033707865168539325,0.0425531914893617
3601,6.0,0.9989815350905344,0.0010184649094655551,4.0,1.0,0.045714285714285714,0.05747126436781609
3901,6.6332495807108,0.9985849704580854,0.0014150295419146364,-6.0,1.0,0.028735632183908046,0.06976744186046512
4201,5.5677643628300215,0.9990066180904765,0.000993381909523472,-3.0,-4.0,0.020289855072463767,0.024390243902439025
4501,5.385164807134504,0.999133544504782,0.0008664554952180215,-3.0,-1.0,0.011764705882352941,0.012345679012345678
4801,3.0,0.9996931261669605,0.00030687383303951155,-3.0,-3.0,0.002932551319648094,0.024390243902439025
5101,4.0,0.9995088832997938,0.0004911167002061845,-6.0,0.0,0.01483679525222552,0.024390243902439025
5401,4.69041575982343,0.9992452554356304,0.000754744564369636,2.0,0.0,0.008849557522123894,0.023809523809523808
5701,6.708203932499369,0.9984966087169708,0.0015033912830292318,-11.0,-4.0,0.041916167664670656,0.075
6001,3.1622776601683795,0.9996431731861167,0.00035682681388327087,2.0,4.0,0.03592814371257485,0.025
6301,3.4641016151377544,0.9995935188048528,0.0004064811951471903,6.0,2.0,0.018072289156626505,0.0
6601,7.280109889280518,0.9980812114964035,0.0019187885035965024,-3.0,-3.0,0.027190332326283987,0.03529411764705882
6901,5.0990195135927845,0.9990869545639981,0.0009130454360019025,-4.0,-4.0,0.03903903903903904,0.08433734939759036
7201,4.69041575982343,0.9992100950845594,0.0007899049154406201,2.0,4.0,0.03303303303303303,0.03614457831325301
7501,4.58257569495584,0.9992554201725166,0.0007445798274834381,-5.0,0.0,0.04790419161676647,0.03529411764705882
7801,7.0710678118654755,0.9983874702047968,0.0016125297952032103,12.0,4.0,0.012195121951219513,0.012345679012345678
8101,4.795831523312719,0.9991478873624331,0.0008521126375669041,-1.0,-2.0,0.01529051987767584,0.012658227848101266
8401,3.7416573867739413,0.9994911748254001,0.0005088251745999361,0.0,3.0,0.015384615384615385,0.02631578947368421
8701,7.0,0.998244818895231,0.0017551811047690213,9.0,1.0,0.0125,0.04
9001,3.3166247903554,0.9995752105742689,0.000424789425731098,-5.0,-3.0,0.003115264797507788,0.0
9301,4.0,0.9993917827742261,0.0006082172257738661,-4.0,-1.0,0.01567398119122257,0.012987012987012988
9601,7.14142842854285,0.9980132669056893,0.001986733094310744,-1.0,1.0,0.01875,0.0
9901,5.744562646538029,0.9988144756548994,0.0011855243451005526,7.0,4.0,0.0031746031746031746,0.05263157894736842
10201,5.744562646538029,0.9987515820494325,0.0012484179505675153,1.0,2.0,0.006289308176100629,0.07317073170731707
10501,7.615773105863909,0.9977325773990676,0.0022674226009323784,0.0,-6.0,0.006329113924050633,0.0
10801,3.3166247903554,0.9995680629309283,0.0004319370690717417,-5.0,-1.0,0.00946372239747634,0.012658227848101266
11101,7.3484692283495345,0.997859775158316,0.0021402248416839686,6.0,1.0,0.00946372239747634,0.0
11401,5.0,0.9992217250672562,0.0007782749327438498,-1.0,-2.0,0.0064516129032258064,0.023809523809523808
11701,6.324555320336759,0.9985651036838893,0.001434896316110712,-4.0,2.0,0.006329113924050633,0.0
12001,5.830951894845301,0.9986446556489138,0.0013553443510861962,4.0,0.0,0.006329113924050633,0.0
12301,7.0,0.9980541999722983,0.0019458000277017273,-7.0,-4.0,0.015772870662460567,0.046511627906976744
12601,4.123105625617661,0.9993626680615798,0.0006373319384201936,-1.0,0.0,0.01910828025477707,0.047619047619047616
12901,6.082762530298219,0.9985870436926729,0.0014129563073270734,-3.0,-6.0,0.028391167192429023,0.11627906976744186
