window_start,window_stop,window_center,window_size,prime_count,pre_boundary_count,post_boundary_count,boundary_imbalance,boundary_abs_imbalance,lane13_count,lane17_count,reflection_gap_13_17,reflection_abs_gap_13_17,reflection_ratio_13_17,boundary_pressure,reflection_pressure,lane_01,lane_07,lane_11,lane_13,lane_17,lane_19,lane_23,lane_29,leader_lane,leader_count
1,3000,1500.5,3000,427,212,215,-3,3,54,56,-2,2,0.9642857142857143,0.00702576112412178,0.01818181818181818,50,55,53,54,56,48,55,56,17,56
301,3300,1800.5,3000,401,198,203,-5,5,48,51,-3,3,0.9411764705882353,0.012468827930174564,0.030303030303030304,48,52,50,48,51,49,50,53,29,53
601,3600,2100.5,3000,394,196,198,-2,2,49,51,-2,2,0.9607843137254902,0.005076142131979695,0.02,51,48,48,49,51,49,48,50,01,51
901,3900,2400.5,3000,385,194,191,3,3,49,48,1,1,1.0208333333333333,0.007792207792207792,0.010309278350515464,47,49,49,49,48,47,47,49,07,49
1201,4200,2700.5,3000,378,187,191,-4,4,48,49,-1,1,0.9795918367346939,0.010582010582010581,0.010309278350515464,47,48,44,48,49,46,45,51,29,51
1501,4500,3000.5,3000,371,188,183,5,5,48,47,1,1,1.0212765957446808,0.013477088948787063,0.010526315789473684,45,48,47,48,47,42,45,49,29,49
1801,4800,3300.5,3000,368,185,183,2,2,47,46,1,1,1.0217391304347827,0.005434782608695652,0.010752688172043012,46,46,46,47,46,41,47,49,29,49
2101,5100,3600.5,3000,364,185,179,6,6,47,45,2,2,1.0444444444444445,0.016483516483516484,0.021739130434782608,46,46,46,47,45,41,45,48,29,48
2401,5400,3900.5,3000,355,179,176,3,3,45,44,1,1,1.0227272727272727,0.008450704225352112,0.011235955056179775,40,47,47,45,44,40,44,48,29,48
2701,5700,4200.5,3000,357,183,174,9,9,48,43,5,5,1.1162790697674418,0.025210084033613446,0.054945054945054944,41,46,48,48,43,43,42,46,11,48
3001,6000,4500.5,3000,353,181,172,9,9,47,44,3,3,1.0681818181818181,0.025495750708215296,0.03296703296703297,42,43,49,47,44,45,42,41,11,49
3301,6300,4800.5,3000,356,184,172,12,12,49,45,4,4,1.0888888888888888,0.033707865168539325,0.0425531914893617,42,45,48,49,45,41,45,41,13,49
3601,6600,5100.5,3000,350,183,167,16,16,46,41,5,5,1.1219512195121952,0.045714285714285714,0.05747126436781609,41,47,49,46,41,39,45,42,11,49
3901,6900,5400.5,3000,348,179,169,10,10,46,40,6,6,1.15,0.028735632183908046,0.06976744186046512,44,43,46,46,40,39,45,45,11,46
4201,7200,5700.5,3000,345,176,169,7,7,42,40,2,2,1.05,0.020289855072463767,0.024390243902439025,42,44,48,42,40,40,46,43,11,48
4501,7500,6000.5,3000,340,172,168,4,4,41,40,1,1,1.025,0.011764705882352941,0.012345679012345678,41,45,45,41,40,43,44,41,07,45
4801,7800,6300.5,3000,341,171,170,1,1,40,42,-2,2,0.9523809523809523,0.002932551319648094,0.024390243902439025,42,45,44,40,42,43,43,42,07,45
5101,8100,6600.5,3000,337,166,171,-5,5,40,42,-2,2,0.9523809523809523,0.01483679525222552,0.024390243902439025,39,45,42,40,42,42,44,43,07,45
5401,8400,6900.5,3000,339,168,171,-3,3,41,43,-2,2,0.9534883720930233,0.008849557522123894,0.023809523809523808,42,44,41,41,43,44,43,41,07,44
5701,8700,7200.5,3000,334,160,174,-14,14,37,43,-6,6,0.8604651162790697,0.041916167664670656,0.075,43,43,37,37,43,43,46,42,23,46
6001,9000,7500.5,3000,334,161,173,-12,12,39,41,-2,2,0.9512195121951219,0.03592814371257485,0.025,43,43,36,39,41,43,46,43,23,46
6301,9300,7800.5,3000,332,163,169,-6,6,40,40,0,0,1.0,0.018072289156626505,0.0,43,43,37,40,40,43,43,43,01,43
6601,9600,8100.5,3000,331,161,170,-9,9,41,44,-3,3,0.9318181818181818,0.027190332326283987,0.03529411764705882,40,40,40,41,44,43,43,40,17,44
6901,9900,8400.5,3000,333,160,173,-13,13,38,45,-7,7,0.8444444444444444,0.03903903903903904,0.08433734939759036,42,41,39,38,45,46,43,39,19,46
7201,10200,8700.5,3000,333,161,172,-11,11,40,43,-3,3,0.9302325581395349,0.03303303303303303,0.03614457831325301,44,38,39,40,43,47,43,39,19,47
7501,10500,9000.5,3000,334,159,175,-16,16,41,44,-3,3,0.9318181818181818,0.04790419161676647,0.03529411764705882,42,36,40,41,44,46,46,39,19,46
7801,10800,9300.5,3000,328,162,166,-4,4,41,40,1,1,1.025,0.012195121951219513,0.012345679012345678,42,37,42,41,40,43,42,41,19,43
8101,11100,9600.5,3000,327,161,166,-5,5,39,40,-1,1,0.975,0.01529051987767584,0.012658227848101266,44,39,39,39,40,43,43,40,01,44
8401,11400,9900.5,3000,325,160,165,-5,5,39,37,2,2,1.054054054054054,0.015384615384615385,0.02631578947368421,43,39,39,39,37,43,43,42,01,43
8701,11700,10200.5,3000,320,162,158,4,4,39,36,3,3,1.0833333333333333,0.0125,0.04,40,42,41,39,36,39,40,43,29,43
9001,12000,10500.5,3000,321,160,161,-1,1,39,39,0,0,1.0,0.003115264797507788,0.0,40,41,40,39,39,39,40,43,29,43
9301,12300,10800.5,3000,319,157,162,-5,5,38,39,-1,1,0.9743589743589743,0.01567398119122257,0.012987012987012988,37,40,42,38,39,39,41,43,29,43
9601,12600,11100.5,3000,320,157,163,-6,6,39,39,0,0,1.0,0.01875,0.0,40,42,36,39,39,39,41,44,29,44
9901,12900,11400.5,3000,315,158,157,1,1,40,36,4,4,1.1111111111111112,0.0031746031746031746,0.05263157894736842,37,42,39,40,36,37,41,43,29,43
10201,13200,11700.5,3000,318,160,158,2,2,44,38,6,6,1.1578947368421053,0.006289308176100629,0.07317073170731707,34,43,39,44,38,36,42,42,13,44
10501,13500,12000.5,3000,316,159,157,2,2,39,39,0,0,1.0,0.006329113924050633,0.0,37,45,38,39,39,37,38,43,07,45
10801,13800,12300.5,3000,317,157,160,-3,3,39,40,-1,1,0.975,0.00946372239747634,0.012658227848101266,35,45,38,39,40,38,40,42,07,45
11101,14100,12600.5,3000,317,160,157,3,3,41,41,0,0,1.0,0.00946372239747634,0.0,35,41,43,41,41,38,38,40,11,43
11401,14400,12900.5,3000,310,156,154,2,2,41,43,-2,2,0.9534883720930233,0.0064516129032258064,0.023809523809523808,35,40,40,41,43,35,37,39,17,43
11701,14700,13200.5,3000,316,157,159,-2,2,44,44,0,0,1.0,0.006329113924050633,0.0,37,36,40,44,44,38,37,40,13,44
12001,15000,13500.5,3000,316,159,157,2,2,42,42,0,0,1.0,0.006329113924050633,0.0,35,40,42,42,42,37,38,40,11,42
12301,15300,13800.5,3000,317,156,161,-5,5,41,45,-4,4,0.9111111111111111,0.015772870662460567,0.046511627906976744,39,38,38,41,45,38,39,39,17,45
12601,15600,14100.5,3000,314,154,160,-6,6,40,44,-4,4,0.9090909090909091,0.01910828025477707,0.047619047619047616,39,35,40,40,44,39,39,38,17,44
12901,15900,14400.5,3000,317,154,163,-9,9,38,48,-10,10,0.7916666666666666,0.028391167192429023,0.11627906976744186,37,38,41,38,48,40,38,37,17,48
13201,16200,14700.5,3000,313,155,158,-3,3,37,48,-11,11,0.7708333333333334,0.009584664536741214,0.12941176470588237,40,38,40,37,48,38,36,36,17,48
13501,16500,15000.5,3000,312,158,154,4,4,41,45,-4,4,0.9111111111111111,0.01282051282051282,0.046511627906976744,39,37,41,41,45,36,38,35,17,45
13801,16800,15300.5,3000,307,155,152,3,3,41,45,-4,4,0.9111111111111111,0.009771986970684038,0.046511627906976744,39,35,40,41,45,36,38,33,17,45
14101,17100,15600.5,3000,309,159,150,9,9,41,41,0,0,1.0,0.02912621359223301,0.0,40,38,40,41,41,35,40,34,13,41
14401,17400,15900.5,3000,315,162,153,9,9,40,41,-1,1,0.975609756097561,0.02857142857142857,0.012345679012345678,38,41,43,40,41,38,41,33,11,43
14701,17700,16200.5,3000,312,157,155,2,2,37,42,-5,5,0.8809523809523809,0.00641025641025641,0.06329113924050633,39,40,41,37,42,41,40,32,17,42
15001,18000,16500.5,3000,310,156,154,2,2,37,42,-5,5,0.8809523809523809,0.0064516129032258064,0.06329113924050633,42,38,39,37,42,43,37,32,19,43
15301,18300,16800.5,3000,309,157,152,5,5,39,40,-1,1,0.975,0.016181229773462782,0.012658227848101266,40,38,40,39,40,44,34,34,19,44
15601,18600,17100.5,3000,310,163,147,16,16,41,37,4,4,1.1081081081081081,0.05161290322580645,0.05128205128205128,38,42,42,41,37,42,35,33,07,42
15901,18900,17400.5,3000,298,155,143,12,12,39,34,5,5,1.1470588235294117,0.040268456375838924,0.0684931506849315,38,39,39,39,34,38,36,35,07,39
16201,19200,17700.5,3000,293,150,143,7,7,37,33,4,4,1.121212121212121,0.023890784982935155,0.05714285714285714,37,36,40,37,33,39,35,36,11,40
16501,19500,18000.5,3000,300,154,146,8,8,38,32,6,6,1.1875,0.02666666666666667,0.08571428571428572,38,39,39,38,32,41,35,38,19,41
16801,19800,18300.5,3000,301,156,145,11,11,37,32,5,5,1.15625,0.036544850498338874,0.07246376811594203,38,41,40,37,32,40,35,38,07,41
17101,20100,18600.5,3000,300,155,145,10,10,37,32,5,5,1.15625,0.03333333333333333,0.07246376811594203,38,40,40,37,32,41,34,38,19,41
17401,20400,18900.5,3000,304,155,149,6,6,40,34,6,6,1.1764705882352942,0.019736842105263157,0.08108108108108109,39,37,39,40,34,40,34,41,29,41
17701,20700,19200.5,3000,298,156,142,14,14,41,32,9,9,1.28125,0.04697986577181208,0.1232876712328767,39,36,40,41,32,36,36,38,13,41
18001,21000,19500.5,3000,296,151,145,6,6,41,31,10,10,1.3225806451612903,0.02027027027027027,0.1388888888888889,34,36,40,41,31,37,38,39,13,41
18301,21300,19800.5,3000,295,153,142,11,11,40,30,10,10,1.3333333333333333,0.03728813559322034,0.14285714285714285,35,38,40,40,30,35,38,39,11,40
18601,21600,20100.5,3000,297,145,152,-7,7,38,36,2,2,1.0555555555555556,0.02356902356902357,0.02702702702702703,33,36,38,38,36,39,37,40,29,40
18901,21900,20400.5,3000,306,152,154,-2,2,39,38,1,1,1.0263157894736843,0.006535947712418301,0.012987012987012988,36,37,40,39,38,41,39,36,19,41
19201,22200,20700.5,3000,313,158,155,3,3,42,38,4,4,1.105263157894737,0.009584664536741214,0.05,38,40,38,42,38,41,40,36,13,42
19501,22500,21000.5,3000,303,149,154,-5,5,41,41,0,0,1.0,0.0165016501650165,0.0,37,34,37,41,41,38,39,36,13,41
19801,22800,21300.5,3000,307,151,156,-5,5,41,42,-1,1,0.9761904761904762,0.016286644951140065,0.012048192771084338,39,32,39,41,42,39,37,38,17,42
20101,23100,21600.5,3000,309,149,160,-11,11,39,47,-8,8,0.8297872340425532,0.03559870550161812,0.09302325581395349,39,31,40,39,47,38,38,37,17,47
20401,23400,21900.5,3000,302,148,154,-6,6,37,45,-8,8,0.8222222222222222,0.019867549668874173,0.0975609756097561,40,31,40,37,45,36,35,38,17,45
