window_start,window_stop,window_center,prime_count,lane_01,lane_07,lane_11,lane_13,lane_17,lane_19,lane_23,lane_29
1,3000,1500.5,427,50,55,53,54,56,48,55,56
301,3300,1800.5,401,48,52,50,48,51,49,50,53
601,3600,2100.5,394,51,48,48,49,51,49,48,50
901,3900,2400.5,385,47,49,49,49,48,47,47,49
1201,4200,2700.5,378,47,48,44,48,49,46,45,51
1501,4500,3000.5,371,45,48,47,48,47,42,45,49
1801,4800,3300.5,368,46,46,46,47,46,41,47,49
2101,5100,3600.5,364,46,46,46,47,45,41,45,48
2401,5400,3900.5,355,40,47,47,45,44,40,44,48
2701,5700,4200.5,357,41,46,48,48,43,43,42,46
3001,6000,4500.5,353,42,43,49,47,44,45,42,41
3301,6300,4800.5,356,42,45,48,49,45,41,45,41
3601,6600,5100.5,350,41,47,49,46,41,39,45,42
3901,6900,5400.5,348,44,43,46,46,40,39,45,45
4201,7200,5700.5,345,42,44,48,42,40,40,46,43
4501,7500,6000.5,340,41,45,45,41,40,43,44,41
4801,7800,6300.5,341,42,45,44,40,42,43,43,42
5101,8100,6600.5,337,39,45,42,40,42,42,44,43
5401,8400,6900.5,339,42,44,41,41,43,44,43,41
5701,8700,7200.5,334,43,43,37,37,43,43,46,42
6001,9000,7500.5,334,43,43,36,39,41,43,46,43
6301,9300,7800.5,332,43,43,37,40,40,43,43,43
6601,9600,8100.5,331,40,40,40,41,44,43,43,40
6901,9900,8400.5,333,42,41,39,38,45,46,43,39
7201,10200,8700.5,333,44,38,39,40,43,47,43,39
7501,10500,9000.5,334,42,36,40,41,44,46,46,39
7801,10800,9300.5,328,42,37,42,41,40,43,42,41
8101,11100,9600.5,327,44,39,39,39,40,43,43,40
8401,11400,9900.5,325,43,39,39,39,37,43,43,42
8701,11700,10200.5,320,40,42,41,39,36,39,40,43
9001,12000,10500.5,321,40,41,40,39,39,39,40,43
9301,12300,10800.5,319,37,40,42,38,39,39,41,43
9601,12600,11100.5,320,40,42,36,39,39,39,41,44
9901,12900,11400.5,315,37,42,39,40,36,37,41,43
10201,13200,11700.5,318,34,43,39,44,38,36,42,42
10501,13500,12000.5,316,37,45,38,39,39,37,38,43
10801,13800,12300.5,317,35,45,38,39,40,38,40,42
11101,14100,12600.5,317,35,41,43,41,41,38,38,40
11401,14400,12900.5,310,35,40,40,41,43,35,37,39
11701,14700,13200.5,316,37,36,40,44,44,38,37,40
12001,15000,13500.5,316,35,40,42,42,42,37,38,40
12301,15300,13800.5,317,39,38,38,41,45,38,39,39
12601,15600,14100.5,314,39,35,40,40,44,39,39,38
12901,15900,14400.5,317,37,38,41,38,48,40,38,37
13201,16200,14700.5,313,40,38,40,37,48,38,36,36
13501,16500,15000.5,312,39,37,41,41,45,36,38,35
13801,16800,15300.5,307,39,35,40,41,45,36,38,33
14101,17100,15600.5,309,40,38,40,41,41,35,40,34
14401,17400,15900.5,315,38,41,43,40,41,38,41,33
14701,17700,16200.5,312,39,40,41,37,42,41,40,32
15001,18000,16500.5,310,42,38,39,37,42,43,37,32
15301,18300,16800.5,309,40,38,40,39,40,44,34,34
15601,18600,17100.5,310,38,42,42,41,37,42,35,33
15901,18900,17400.5,298,38,39,39,39,34,38,36,35
16201,19200,17700.5,293,37,36,40,37,33,39,35,36
16501,19500,18000.5,300,38,39,39,38,32,41,35,38
16801,19800,18300.5,301,38,41,40,37,32,40,35,38
17101,20100,18600.5,300,38,40,40,37,32,41,34,38
